"market_name","completedDonations","totalDonations","completionPercentage"
"Dubuque, IA","3","3","100"
"Huntington, WV","2","2","100"
"Joplin, MO","2","2","100"
"Madisonville, KY","1","1","100"
"Akron, OH","17","18","94.44444444444444"
"Visalia, CA","14","15","93.33333333333333"
"Leesburg, VA","246","273","90.10989010989012"
"Raleigh-Durham, NC","789","900","87.66666666666667"
"Elizabethtown, KY","59","69","85.5072463768116"
"San Jose / San Francisco, CA","266","312","85.25641025641026"
"Manassas, VA","572","671","85.24590163934427"
"Milwaukee, WI","853","1002","85.12974051896208"
"Albany, OR","40","47","85.1063829787234"
"Seattle, WA","1828","2160","84.62962962962963"
"Orange County, CA","1861","2203","84.47571493418066"
"Conroe, TX","329","390","84.35897435897436"
"Yuba City, CA","46","55","83.63636363636364"
"Stockton, CA","429","513","83.62573099415205"
"Charlotte, NC","1500","1795","83.56545961002786"
"Indianapolis, IN","722","865","83.46820809248555"
"Minneapolis, MN","1290","1546","83.44113842173351"
"Columbus, OH","356","427","83.37236533957845"
"Westminster, MD","292","351","83.19088319088318"
"Boston, MA","5306","6389","83.04899045233996"
"Frederick, MD","142","172","82.55813953488372"
"DC","3706","4495","82.44716351501668"
"Kensington, MD","414","505","81.98019801980197"
"Portland, OR","1628","1995","81.60401002506266"
"Wichita, KS","175","215","81.3953488372093"
"Kansas City, KS","803","987","81.35764944275583"
"Salt Lake City, UT","367","452","81.19469026548673"
"Phoenix, AZ","293","362","80.93922651933701"
"Monroe, WI","238","295","80.67796610169492"
"Houston, TX","373","463","80.56155507559396"
"Vero Beach, FL","1388","1725","80.46376811594203"
"Myrtle Beach, SC","410","510","80.3921568627451"
"San Diego, CA","3384","4212","80.34188034188034"
"Brevard, FL","285","356","80.0561797752809"
"Elkhart, IN","108","135","80"
"Killeen, TX","12","15","80"
"Baltimore, MD","2138","2673","79.9850355405911"
"Vancouver, WA","298","373","79.89276139410188"
"Omaha, NE","415","520","79.8076923076923"
"Tacoma, WA","795","997","79.73921765295887"
"Nashville, TN","589","739","79.70230040595399"
"Springfield, MA","43","54","79.62962962962963"
"Winchester, VA","116","146","79.45205479452055"
"Dallas / Fort Worth, TX","1328","1674","79.33094384707287"
"Pittsburgh, PA","487","615","79.1869918699187"
"Wausau, WI","19","24","79.16666666666667"
"Tucson, AZ","440","557","78.99461400359067"
"Plano / McKinney, TX","758","961","78.87617065556712"
"Chico, CA","11","14","78.57142857142857"
"Dayton, OH","102","130","78.46153846153847"
"Charlottesville, VA","218","279","78.13620071684588"
"Santa Cruz / Monterey Bay, CA","383","491","78.0040733197556"
"Freehold, NJ","396","508","77.95275590551181"
"Contra Costa, CA","437","561","77.89661319073083"
"Carson City, NV","56","72","77.77777777777777"
"Atlanta, GA","2692","3471","77.55690002881015"
"Sacramento, CA","1354","1746","77.54868270332187"
"Marion, OH","103","133","77.44360902255639"
"Camden, DE","201","260","77.3076923076923"
"Snohomish, WA","2350","3040","77.30263157894737"
"Toledo, OH","156","202","77.22772277227723"
"Tulsa, OK","27","35","77.14285714285714"
